City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,hamilton,39.1834,-84.5333,11.61,42,75,6.17,US,1667884452
306,pila,53.1515,16.7378,8.03,95,94,3.12,PL,1667884452
307,yantongshan,43.2919,126.0094,9.93,35,22,6.08,CN,1667884453
308,coihaique,-45.5752,-72.0662,12.34,93,75,2.06,CL,1667884453
309,ler,8.3018,30.1418,25.53,65,100,2.0,SS,1667884454
310,krasnoselkup,65.7,82.4667,-5.06,96,100,4.99,RU,1667884454
311,cockburn town,21.4612,-71.1419,26.66,73,17,3.34,TC,1667884455
312,nabire,-3.3667,135.4833,29.43,73,91,2.12,ID,1667884455
313,huarmey,-10.0681,-78.1522,18.06,84,46,3.37,PE,1667884456
314,te anau,-45.4167,167.7167,17.85,53,30,2.34,NZ,1667884199
315,talnakh,69.4865,88.3972,-23.22,100,90,2.1,RU,1667884457
316,tezu,27.9167,96.1667,26.12,40,1,1.55,IN,1667884440
317,erenhot,43.6475,111.9767,9.04,19,75,5.88,CN,1667884457
318,saryg-sep,51.5,95.6,0.38,83,98,0.52,RU,1667884458
319,balanacan,13.5289,121.8677,28.29,78,99,5.28,PH,1667884458
320,kodinsk,58.6881,99.1844,-4.16,82,99,4.16,RU,1667884458
321,khasan,42.4308,130.6434,11.49,35,4,4.32,RU,1667884459
322,abengourou,6.7297,-3.4964,21.35,99,68,0.98,CI,1667884459
323,quito,-0.2299,-78.5249,8.53,91,98,0.58,EC,1667884451
324,pinega,64.7001,43.3936,1.53,100,100,1.86,RU,1667884460
325,tanout,14.9709,8.8879,20.65,19,6,4.77,NE,1667884460
326,palmer,42.1584,-72.3287,10.81,53,0,4.63,US,1667884461
327,olinda,-8.0089,-34.8553,25.85,73,75,1.54,BR,1667883996
328,kalianget,-7.05,113.9333,29.46,67,100,1.92,ID,1667884462
329,port blair,11.6667,92.75,27.42,77,96,5.79,IN,1667884462
330,brezovo,42.35,25.0833,10.35,80,100,0.15,BG,1667884463
